age,city,country,education_среднее
22,1204,32,0.0
46,1134,32,1.0
50,1137,32,1.0
65,1170,32,1.0
39,1182,32,1.0
51,1188,32,1.0
28,1134,32,0.0
34,1185,32,1.0
17,1188,32,1.0
38,1134,32,1.0
44,1195,32,1.0
37,1176,32,1.0
35,1165,32,1.0
34,1165,32,1.0
45,1184,32,1.0
17,1179,32,0.0
17,70,32,0.0
37,1206,32,1.0
42,1134,32,0.0
60,1134,32,1.0
37,1134,32,1.0
41,1134,32,1.0
60,1134,32,1.0
46,1134,32,1.0
25,1188,32,0.0
40,1134,32,1.0
37,1155,32,1.0
38,1142,32,1.0
16,1177,32,0.0
61,1134,32,1.0
61,1134,32,1.0
30,1188,32,1.0
57,1134,32,1.0
